46.635782,
16.583896,
7.963295,
4.507879,
2.831784,
1.911374,
1.359773,
1.006995,
0.769743,
0.603663,
0.483541,
0.394267,
0.326377,
0.273724,
0.232188,
0.198930,
0.171949,
0.149804,
0.131437,
0.116061,
0.103078,
0.092032,
0.082567,
0.074404,
0.067323,
0.061146,
0.055730,
0.050960,
0.046740,
0.042991,
0.039647,
0.036655,
0.033968,
0.031548,
0.029361,
0.027380,
0.025580,
0.023940,
0.022444,
0.021074,
0.019818,
0.018664,
0.017601,
0.016621,
0.015715,
0.014876,
0.014099,
0.013377,
0.012705,
